SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100
SSP2;CAZ;;;;;Cycle;trn_pass;S1S;0.019099999999489;0.0381999999994484;0.0381999999948336;0.0382000000005586;0.0765000000002397
SSP2;CAZ;;;;;Domestic Aviation;trn_pass;S1S;0.00142999999996224;0.00149999999997797;0.00109999999985246;0.000700000000010379;0.000700000000002155
SSP2;CAZ;;;;;Domestic Ship;trn_freight;S1S;0.015799999987576;0.016004940925879;0.01504761903863;0.0143636363676946;0.0131666666733018
SSP2;CAZ;;;;;Freight Rail;trn_freight;S1S;0.106999999918658;0.0711958742021973;0.0571428571409635;0.0454545454698499;0.0166666666717628
SSP2;CAZ;;;;;HSR;trn_pass;S1S;8.7899999997582e-08;8.7899999998721e-05;0.000122999999983286;0.000158000000002362;0.000264000000000796
SSP2;CAZ;;;;;International Aviation;trn_aviation_intl;S1S;1;1;1;1;1
SSP2;CAZ;;;;;International Ship;trn_shipping_intl;S1S;1;1;1;1;1
SSP2;CAZ;;;;;Passenger Rail;trn_pass;S1S;0.000878999999976113;0.000878999999987297;0.000965999999868473;0.00105000000001544;0.00176000000000551
SSP2;CAZ;;;;;Walk;trn_pass;S1S;1;1;1;1;1
SSP2;CAZ;;;;;trn_freight_road;trn_freight;S1S;1;1;1;1;1
SSP2;CAZ;;;;;trn_pass_road;trn_pass;S1S;0.149999999995909;0.109999999998378;0.0924999999874553;0.0750000000011071;0.0755000000002337
SSP2;CAZ;;;;Bus;trn_pass_road;trn_pass;S2S1;0.0885;0.0884999999999998;0.089809523809524;0.0909090909090908;0.1
SSP2;CAZ;;;;Cycle_tmp_subsectorL2;Cycle;trn_pass;S2S1;1;1;1;1;1
SSP2;CAZ;;;;Domestic Aviation_tmp_subsectorL2;Domestic Aviation;trn_pass;S2S1;1;1;1;1;1
SSP2;CAZ;;;;Domestic Ship_tmp_subsectorL2;Domestic Ship;trn_freight;S2S1;1;1;1;1;1
SSP2;CAZ;;;;Freight Rail_tmp_subsectorL2;Freight Rail;trn_freight;S2S1;1;1;1;1;1
SSP2;CAZ;;;;HSR_tmp_subsectorL2;HSR;trn_pass;S2S1;1;1;1;1;1
SSP2;CAZ;;;;International Aviation_tmp_subsectorL2;International Aviation;trn_aviation_intl;S2S1;1;1;1;1;1
SSP2;CAZ;;;;International Ship_tmp_subsectorL2;International Ship;trn_shipping_intl;S2S1;1;1;1;1;1
SSP2;CAZ;;;;Passenger Rail_tmp_subsectorL2;Passenger Rail;trn_pass;S2S1;1;1;1;1;1
SSP2;CAZ;;;;Walk_tmp_subsectorL2;Walk;trn_pass;S2S1;1;1;1;1;1
